|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
|                    | all pages | visited pages | visited_pages_ratio | finished_pages | finished_pages_ratio | all_input_form | visited_input_form | visited_input_form_ratio | all_bindings | visited bindings | visited_bindings_ratio |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx0914a691ced443fb |      11.0 |           3.0 |          0.27272728 |            2.0 |           0.18181819 |            0.0 |                0.0 |                      0.0 |        132.0 |             41.0 |             0.31060606 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx6b8f49fe5c5ace31 |      13.0 |           7.0 |          0.53846157 |            6.0 |           0.46153846 |            4.0 |                4.0 |                      1.0 |         39.0 |             24.0 |             0.61538464 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx32f0928b3d3db787 |     137.0 |           3.0 |          0.02189781 |            4.0 |           0.02919708 |           23.0 |               22.0 |               0.95652175 |        683.0 |             25.0 |             0.03660322 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wxc9e8ddaec37c31fd |      19.0 |           2.0 |          0.10526316 |            1.0 |           0.05263158 |            0.0 |                0.0 |                      0.0 |         30.0 |              3.0 |                    0.1 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx5c8daa1b006dbb62 |      12.0 |           4.0 |          0.33333334 |            3.0 |                 0.25 |            0.0 |                0.0 |                      0.0 |         95.0 |             35.0 |             0.36842105 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx37c0d78cc393efa3 |     123.0 |          12.0 |          0.09756097 |           11.0 |           0.08943089 |            0.0 |                0.0 |                      0.0 |        566.0 |             38.0 |             0.06713781 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx0a7e8d29ab6f0b31 |      43.0 |          36.0 |           0.8372093 |           35.0 |           0.81395346 |            0.0 |                0.0 |                      0.0 |          3.0 |              3.0 |                    1.0 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wxc6265dd1a537197f |      16.0 |           7.0 |              0.4375 |            8.0 |                  0.5 |            0.0 |                0.0 |                      0.0 |         52.0 |             38.0 |              0.7307692 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx4a7a1e1370b65c22 |      69.0 |           5.0 |         0.072463766 |            5.0 |          0.072463766 |            3.0 |                3.0 |                      1.0 |        250.0 |             31.0 |                  0.124 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx78cc4e7227108a45 |      35.0 |          10.0 |           0.2857143 |            9.0 |           0.25714287 |            0.0 |                0.0 |                      0.0 |         81.0 |             25.0 |             0.30864197 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx1160acda2d87405f |      24.0 |           3.0 |               0.125 |            3.0 |                0.125 |            2.0 |                2.0 |                      1.0 |        269.0 |             42.0 |             0.15613383 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wxd9355e0da4c9f017 |      68.0 |           8.0 |          0.11764706 |            7.0 |           0.10294118 |            5.0 |                5.0 |                      1.0 |        189.0 |             24.0 |             0.12698413 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx7a714061817b2863 |      12.0 |          10.0 |           0.8333333 |           12.0 |                  1.0 |            2.0 |                2.0 |                      1.0 |         23.0 |             23.0 |                    1.0 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx0639d7333d118d04 |       7.0 |           7.0 |                 1.0 |            7.0 |                  1.0 |            0.0 |                0.0 |                      0.0 |          5.0 |              5.0 |                    1.0 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx6f97421aa741e9a6 |      12.0 |          12.0 |                 1.0 |           11.0 |            0.9166667 |            0.0 |                0.0 |                      0.0 |         21.0 |             21.0 |                    1.0 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wx3d9a1248a40f66af |      17.0 |          12.0 |           0.7058824 |           11.0 |           0.64705884 |            0.0 |                0.0 |                      0.0 |         51.0 |             25.0 |             0.49019608 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
| wxf41de443d58d1d3e |      57.0 |           5.0 |           0.0877193 |            6.0 |           0.10526316 |           11.0 |               11.0 |                      1.0 |        273.0 |             42.0 |             0.15384616 |
|--------------------|-----------|---------------|---------------------|----------------|----------------------|----------------|--------------------|--------------------------|--------------|------------------|------------------------|
